;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
167;2024-07-10;2024;7;10;963;Cliente_963;Sudeste;Varejo;Produto_92;Eletrônicos;1; R$ 1.278,63 ; R$ 1.278,63 ;Pix;Concluída
168;2024-06-19;2024;6;19;213;Cliente_213;Nordeste;Varejo;Produto_91;Acessórios;10; R$ 1.475,67 ; R$ 14.756,70 ;Pix;Cancelada
169;2024-09-02;2024;9;2;359;Cliente_359;Nordeste;Atacado;Produto_17;Equipamentos;8; R$ 1.962,02 ; R$ 15.696,16 ;Cartão;Pendente
170;2024-01-22;2024;1;22;413;Cliente_413;Sudeste;Online;Produto_132;Equipamentos;1; R$ 1.586,40 ; R$ 1.586,40 ;Transferência;Pendente
171;2024-01-25;2024;1;25;75;Cliente_75;Sudeste;Online;Produto_32;Software;4; R$ 586,50 ; R$ 2.346,00 ;Transferência;Pendente
172;2024-04-05;2024;4;5;901;Cliente_901;Sul;Corporativo;Produto_95;Acessórios;7; R$ 691,29 ; R$ 4.839,03 ;Pix;Concluída
173;2024-04-02;2024;4;2;870;Cliente_870;Centro-Oeste;Online;Produto_83;Eletrônicos;2; R$ 872,60 ; R$ 1.745,20 ;Cartão;Pendente
174;2024-08-06;2024;8;6;606;Cliente_606;Nordeste;Corporativo;Produto_90;Equipamentos;5; R$ 902,91 ; R$ 4.514,55 ;Cartão;Cancelada
175;2024-05-20;2024;5;20;723;Cliente_723;Norte;Varejo;Produto_104;Software;10; R$ 1.996,34 ; R$ 19.963,40 ;Boleto;Concluída
176;2024-08-12;2024;8;12;293;Cliente_293;Norte;Atacado;Produto_18;Serviços;10; R$ 1.362,62 ; R$ 13.626,20 ;Pix;Pendente
177;2024-03-19;2024;3;19;785;Cliente_785;Sul;Online;Produto_96;Equipamentos;10; R$ 84,12 ; R$ 841,20 ;Cartão;Cancelada
178;2024-06-09;2024;6;9;282;Cliente_282;Sudeste;Atacado;Produto_30;Eletrônicos;9; R$ 746,56 ; R$ 6.719,04 ;Boleto;Pendente
179;2024-03-01;2024;3;1;1061;Cliente_1061;Sudeste;Online;Produto_115;Serviços;7; R$ 1.828,81 ; R$ 12.801,67 ;Pix;Cancelada
180;2024-02-07;2024;2;7;1006;Cliente_1006;Sul;Atacado;Produto_114;Eletrônicos;4; R$ 262,82 ; R$ 1.051,28 ;Pix;Cancelada
181;2024-05-28;2024;5;28;712;Cliente_712;Sudeste;Atacado;Produto_45;Software;2; R$ 1.108,99 ; R$ 2.217,98 ;Boleto;Concluída
182;2024-09-09;2024;9;9;412;Cliente_412;Norte;Online;Produto_142;Acessórios;3; R$ 488,74 ; R$ 1.466,22 ;Pix;Pendente
183;2024-02-14;2024;2;14;1130;Cliente_1130;Norte;Online;Produto_102;Equipamentos;3; R$ 1.231,66 ; R$ 3.694,98 ;Transferência;Pendente
184;2024-06-11;2024;6;11;1178;Cliente_1178;Norte;Corporativo;Produto_120;Acessórios;2; R$ 268,15 ; R$ 536,30 ;Pix;Concluída
185;2024-03-07;2024;3;7;1130;Cliente_1130;Sul;Varejo;Produto_32;Acessórios;10; R$ 380,29 ; R$ 3.802,90 ;Boleto;Pendente
186;2024-12-29;2024;12;29;338;Cliente_338;Nordeste;Online;Produto_133;Software;3; R$ 658,87 ; R$ 1.976,61 ;Cartão;Pendente
187;2024-11-16;2024;11;16;403;Cliente_403;Sudeste;Varejo;Produto_129;Serviços;9; R$ 563,41 ; R$ 5.070,69 ;Boleto;Concluída
188;2024-01-15;2024;1;15;692;Cliente_692;Norte;Varejo;Produto_148;Software;10; R$ 101,56 ; R$ 1.015,60 ;Boleto;Cancelada
189;2024-09-11;2024;9;11;854;Cliente_854;Centro-Oeste;Online;Produto_78;Equipamentos;10; R$ 1.285,20 ; R$ 12.852,00 ;Boleto;Cancelada
190;2024-12-18;2024;12;18;832;Cliente_832;Norte;Atacado;Produto_113;Equipamentos;5; R$ 918,02 ; R$ 4.590,10 ;Transferência;Pendente
191;2024-06-09;2024;6;9;418;Cliente_418;Sudeste;Online;Produto_103;Serviços;6; R$ 1.221,19 ; R$ 7.327,14 ;Pix;Cancelada
192;2024-08-26;2024;8;26;1151;Cliente_1151;Norte;Online;Produto_116;Serviços;2; R$ 651,85 ; R$ 1.303,70 ;Boleto;Concluída
193;2024-11-11;2024;11;11;104;Cliente_104;Sul;Atacado;Produto_41;Software;5; R$ 1.891,86 ; R$ 9.459,30 ;Pix;Concluída
194;2024-08-27;2024;8;27;327;Cliente_327;Sul;Online;Produto_128;Eletrônicos;8; R$ 1.992,02 ; R$ 15.936,16 ;Cartão;Pendente
195;2024-04-20;2024;4;20;1036;Cliente_1036;Centro-Oeste;Online;Produto_13;Eletrônicos;8; R$ 1.934,04 ; R$ 15.472,32 ;Pix;Pendente
196;2024-02-25;2024;2;25;964;Cliente_964;Sul;Atacado;Produto_68;Software;5; R$ 1.082,65 ; R$ 5.413,25 ;Transferência;Pendente
197;2024-10-14;2024;10;14;93;Cliente_93;Nordeste;Online;Produto_142;Software;7; R$ 121,29 ; R$ 849,03 ;Cartão;Pendente
198;2024-05-23;2024;5;23;1033;Cliente_1033;Centro-Oeste;Varejo;Produto_33;Eletrônicos;8; R$ 1.533,52 ; R$ 12.268,16 ;Transferência;Pendente
199;2024-03-14;2024;3;14;695;Cliente_695;Nordeste;Corporativo;Produto_129;Eletrônicos;9; R$ 1.879,12 ; R$ 16.912,08 ;Cartão;Concluída
200;2024-09-22;2024;9;22;281;Cliente_281;Sul;Atacado;Produto_132;Serviços;6; R$ 1.611,85 ; R$ 9.671,10 ;Pix;Cancelada
201;2024-11-11;2024;11;11;653;Cliente_653;Sudeste;Online;Produto_130;Acessórios;3; R$ 798,05 ; R$ 2.394,15 ;Transferência;Cancelada
202;2024-01-09;2024;1;9;1153;Cliente_1153;Sudeste;Online;Produto_29;Equipamentos;5; R$ 960,29 ; R$ 4.801,45 ;Pix;Cancelada
203;2024-12-01;2024;12;1;55;Cliente_55;Centro-Oeste;Atacado;Produto_14;Acessórios;10; R$ 959,69 ; R$ 9.596,90 ;Transferência;Concluída
204;2024-07-13;2024;7;13;1074;Cliente_1074;Nordeste;Atacado;Produto_9;Acessórios;10; R$ 1.553,72 ; R$ 15.537,20 ;Cartão;Concluída
205;2024-03-18;2024;3;18;39;Cliente_39;Sul;Atacado;Produto_106;Acessórios;8; R$ 641,11 ; R$ 5.128,88 ;Transferência;Cancelada
206;2024-10-14;2024;10;14;128;Cliente_128;Sudeste;Corporativo;Produto_135;Equipamentos;3; R$ 1.046,99 ; R$ 3.140,97 ;Pix;Concluída
207;2024-06-30;2024;6;30;942;Cliente_942;Sudeste;Corporativo;Produto_50;Serviços;9; R$ 697,81 ; R$ 6.280,29 ;Pix;Cancelada
208;2024-06-01;2024;6;1;612;Cliente_612;Sudeste;Atacado;Produto_126;Software;4; R$ 1.884,14 ; R$ 7.536,56 ;Transferência;Pendente
209;2024-10-20;2024;10;20;1148;Cliente_1148;Centro-Oeste;Corporativo;Produto_102;Software;5; R$ 589,82 ; R$ 2.949,10 ;Boleto;Pendente
210;2024-02-10;2024;2;10;87;Cliente_87;Sudeste;Corporativo;Produto_66;Equipamentos;5; R$ 1.911,52 ; R$ 9.557,60 ;Boleto;Concluída
211;2024-12-22;2024;12;22;1104;Cliente_1104;Sudeste;Atacado;Produto_28;Acessórios;5; R$ 1.867,39 ; R$ 9.336,95 ;Boleto;Concluída
212;2024-04-29;2024;4;29;104;Cliente_104;Norte;Varejo;Produto_106;Software;9; R$ 466,83 ; R$ 4.201,47 ;Transferência;Concluída
213;2024-03-21;2024;3;21;282;Cliente_282;Sul;Corporativo;Produto_123;Serviços;1; R$ 1.929,75 ; R$ 1.929,75 ;Pix;Pendente
214;2024-02-15;2024;2;15;585;Cliente_585;Centro-Oeste;Atacado;Produto_137;Eletrônicos;1; R$ 1.817,72 ; R$ 1.817,72 ;Boleto;Pendente
215;2024-07-22;2024;7;22;361;Cliente_361;Sul;Atacado;Produto_75;Eletrônicos;1; R$ 1.994,40 ; R$ 1.994,40 ;Cartão;Pendente
216;2024-06-20;2024;6;20;1164;Cliente_1164;Sudeste;Corporativo;Produto_140;Acessórios;10; R$ 232,46 ; R$ 2.324,60 ;Transferência;Concluída
217;2024-02-27;2024;2;27;1033;Cliente_1033;Sudeste;Atacado;Produto_118;Software;8; R$ 560,22 ; R$ 4.481,76 ;Boleto;Concluída
218;2024-04-08;2024;4;8;691;Cliente_691;Nordeste;Corporativo;Produto_110;Acessórios;5; R$ 1.144,21 ; R$ 5.721,05 ;Pix;Concluída
219;2024-03-12;2024;3;12;821;Cliente_821;Sul;Online;Produto_64;Eletrônicos;2; R$ 385,87 ; R$ 771,74 ;Pix;Pendente
220;2024-06-17;2024;6;17;483;Cliente_483;Sudeste;Varejo;Produto_67;Software;8; R$ 1.512,44 ; R$ 12.099,52 ;Boleto;Concluída
221;2024-07-26;2024;7;26;243;Cliente_243;Centro-Oeste;Online;Produto_31;Software;8; R$ 627,48 ; R$ 5.019,84 ;Pix;Cancelada
222;2024-09-01;2024;9;1;453;Cliente_453;Nordeste;Corporativo;Produto_96;Equipamentos;4; R$ 1.915,57 ; R$ 7.662,28 ;Transferência;Cancelada
223;2024-11-01;2024;11;1;448;Cliente_448;Norte;Corporativo;Produto_136;Software;4; R$ 1.367,08 ; R$ 5.468,32 ;Cartão;Cancelada
224;2024-09-15;2024;9;15;230;Cliente_230;Nordeste;Atacado;Produto_43;Software;1; R$ 1.660,97 ; R$ 1.660,97 ;Transferência;Concluída
225;2024-09-18;2024;9;18;421;Cliente_421;Sul;Varejo;Produto_117;Serviços;10; R$ 987,88 ; R$ 9.878,80 ;Transferência;Pendente
226;2024-12-10;2024;12;10;1155;Cliente_1155;Sudeste;Varejo;Produto_102;Software;1; R$ 1.126,42 ; R$ 1.126,42 ;Cartão;Cancelada
227;2024-08-04;2024;8;4;447;Cliente_447;Sudeste;Varejo;Produto_139;Eletrônicos;10; R$ 164,60 ; R$ 1.646,00 ;Cartão;Pendente
228;2024-03-10;2024;3;10;65;Cliente_65;Sul;Online;Produto_98;Equipamentos;5; R$ 829,56 ; R$ 4.147,80 ;Transferência;Pendente
229;2024-06-27;2024;6;27;165;Cliente_165;Norte;Atacado;Produto_138;Equipamentos;9; R$ 283,32 ; R$ 2.549,88 ;Boleto;Cancelada
230;2024-06-01;2024;6;1;457;Cliente_457;Sul;Corporativo;Produto_137;Equipamentos;1; R$ 1.517,24 ; R$ 1.517,24 ;Boleto;Concluída
231;2024-04-06;2024;4;6;944;Cliente_944;Norte;Varejo;Produto_108;Acessórios;6; R$ 327,14 ; R$ 1.962,84 ;Cartão;Concluída
232;2024-01-18;2024;1;18;423;Cliente_423;Sul;Varejo;Produto_63;Eletrônicos;2; R$ 219,78 ; R$ 439,56 ;Transferência;Pendente
233;2024-01-29;2024;1;29;480;Cliente_480;Nordeste;Online;Produto_60;Acessórios;9; R$ 450,19 ; R$ 4.051,71 ;Pix;Cancelada
234;2024-03-14;2024;3;14;657;Cliente_657;Centro-Oeste;Atacado;Produto_106;Software;4; R$ 617,49 ; R$ 2.469,96 ;Pix;Concluída
235;2024-03-30;2024;3;30;1141;Cliente_1141;Sul;Corporativo;Produto_13;Software;10; R$ 1.761,83 ; R$ 17.618,30 ;Transferência;Cancelada
236;2024-06-02;2024;6;2;653;Cliente_653;Sul;Atacado;Produto_138;Equipamentos;7; R$ 828,35 ; R$ 5.798,45 ;Boleto;Concluída
237;2024-01-30;2024;1;30;616;Cliente_616;Centro-Oeste;Corporativo;Produto_107;Acessórios;3; R$ 1.615,44 ; R$ 4.846,32 ;Boleto;Pendente
238;2024-11-27;2024;11;27;498;Cliente_498;Norte;Corporativo;Produto_95;Eletrônicos;5; R$ 422,61 ; R$ 2.113,05 ;Boleto;Concluída
239;2024-11-04;2024;11;4;550;Cliente_550;Norte;Varejo;Produto_49;Acessórios;7; R$ 1.353,87 ; R$ 9.477,09 ;Boleto;Pendente
240;2024-01-08;2024;1;8;428;Cliente_428;Nordeste;Atacado;Produto_31;Equipamentos;6; R$ 620,31 ; R$ 3.721,86 ;Boleto;Cancelada
241;2024-10-09;2024;10;9;419;Cliente_419;Sudeste;Online;Produto_98;Equipamentos;7; R$ 1.831,95 ; R$ 12.823,65 ;Pix;Pendente
242;2024-09-11;2024;9;11;536;Cliente_536;Sul;Varejo;Produto_121;Software;6; R$ 1.035,38 ; R$ 6.212,28 ;Boleto;Pendente
243;2024-04-23;2024;4;23;641;Cliente_641;Nordeste;Varejo;Produto_67;Acessórios;7; R$ 110,52 ; R$ 773,64 ;Transferência;Pendente
244;2024-07-13;2024;7;13;313;Cliente_313;Centro-Oeste;Atacado;Produto_128;Acessórios;4; R$ 673,13 ; R$ 2.692,52 ;Pix;Pendente
245;2024-06-29;2024;6;29;1001;Cliente_1001;Nordeste;Atacado;Produto_140;Equipamentos;8; R$ 932,44 ; R$ 7.459,52 ;Boleto;Cancelada
246;2024-02-08;2024;2;8;121;Cliente_121;Norte;Varejo;Produto_106;Serviços;9; R$ 86,97 ; R$ 782,73 ;Boleto;Concluída
247;2024-08-21;2024;8;21;310;Cliente_310;Sudeste;Varejo;Produto_124;Equipamentos;1; R$ 453,06 ; R$ 453,06 ;Cartão;Concluída
248;2024-01-09;2024;1;9;1090;Cliente_1090;Centro-Oeste;Online;Produto_138;Software;9; R$ 834,45 ; R$ 7.510,05 ;Cartão;Cancelada
249;2024-02-19;2024;2;19;882;Cliente_882;Centro-Oeste;Atacado;Produto_62;Serviços;3; R$ 231,89 ; R$ 695,67 ;Pix;Pendente
250;2024-07-26;2024;7;26;548;Cliente_548;Sul;Atacado;Produto_58;Software;7; R$ 176,46 ; R$ 1.235,22 ;Cartão;Cancelada
251;2024-07-12;2024;7;12;65;Cliente_65;Centro-Oeste;Corporativo;Produto_15;Eletrônicos;2; R$ 822,45 ; R$ 1.644,90 ;Boleto;Concluída
252;2024-06-18;2024;6;18;1024;Cliente_1024;Centro-Oeste;Varejo;Produto_136;Eletrônicos;7; R$ 1.296,92 ; R$ 9.078,44 ;Boleto;Concluída
253;2024-02-08;2024;2;8;1161;Cliente_1161;Sudeste;Varejo;Produto_46;Software;8; R$ 556,77 ; R$ 4.454,16 ;Cartão;Concluída
254;2024-06-02;2024;6;2;296;Cliente_296;Nordeste;Atacado;Produto_146;Equipamentos;7; R$ 1.859,17 ; R$ 13.014,19 ;Pix;Pendente
255;2024-06-26;2024;6;26;287;Cliente_287;Norte;Varejo;Produto_112;Serviços;2; R$ 1.011,57 ; R$ 2.023,14 ;Cartão;Pendente
256;2024-05-19;2024;5;19;813;Cliente_813;Sul;Corporativo;Produto_59;Software;6; R$ 78,66 ; R$ 471,96 ;Transferência;Pendente
257;2024-02-13;2024;2;13;381;Cliente_381;Centro-Oeste;Online;Produto_64;Eletrônicos;10; R$ 1.328,13 ; R$ 13.281,30 ;Cartão;Pendente
258;2024-11-20;2024;11;20;316;Cliente_316;Nordeste;Corporativo;Produto_82;Software;7; R$ 1.429,12 ; R$ 10.003,84 ;Cartão;Concluída
259;2024-05-18;2024;5;18;11;Cliente_11;Norte;Atacado;Produto_23;Serviços;5; R$ 900,58 ; R$ 4.502,90 ;Transferência;Pendente
260;2024-02-22;2024;2;22;1141;Cliente_1141;Norte;Varejo;Produto_91;Acessórios;9; R$ 1.034,63 ; R$ 9.311,67 ;Cartão;Cancelada
261;2024-07-30;2024;7;30;665;Cliente_665;Sul;Varejo;Produto_144;Serviços;7; R$ 44,43 ; R$ 311,01 ;Boleto;Cancelada
262;2024-06-03;2024;6;3;780;Cliente_780;Sudeste;Corporativo;Produto_38;Eletrônicos;3; R$ 294,90 ; R$ 884,70 ;Boleto;Pendente
263;2024-02-09;2024;2;9;566;Cliente_566;Sudeste;Online;Produto_64;Equipamentos;7; R$ 613,51 ; R$ 4.294,57 ;Boleto;Pendente
264;2024-07-21;2024;7;21;220;Cliente_220;Sudeste;Corporativo;Produto_85;Equipamentos;3; R$ 623,22 ; R$ 1.869,66 ;Pix;Pendente
265;2024-12-21;2024;12;21;279;Cliente_279;Nordeste;Corporativo;Produto_81;Serviços;5; R$ 654,92 ; R$ 3.274,60 ;Transferência;Pendente
266;2024-05-04;2024;5;4;597;Cliente_597;Sudeste;Corporativo;Produto_72;Equipamentos;8; R$ 1.936,17 ; R$ 15.489,36 ;Pix;Concluída
267;2024-10-06;2024;10;6;1155;Cliente_1155;Nordeste;Varejo;Produto_119;Serviços;4; R$ 1.192,61 ; R$ 4.770,44 ;Transferência;Pendente
268;2024-03-12;2024;3;12;142;Cliente_142;Sudeste;Atacado;Produto_65;Serviços;7; R$ 1.352,50 ; R$ 9.467,50 ;Transferência;Pendente
269;2024-09-02;2024;9;2;152;Cliente_152;Centro-Oeste;Corporativo;Produto_137;Acessórios;8; R$ 1.981,59 ; R$ 15.852,72 ;Transferência;Cancelada
270;2024-10-01;2024;10;1;76;Cliente_76;Centro-Oeste;Varejo;Produto_28;Serviços;6; R$ 1.409,24 ; R$ 8.455,44 ;Pix;Concluída
271;2024-12-12;2024;12;12;91;Cliente_91;Sul;Online;Produto_111;Eletrônicos;10; R$ 1.967,54 ; R$ 19.675,40 ;Cartão;Concluída
272;2024-09-22;2024;9;22;530;Cliente_530;Centro-Oeste;Atacado;Produto_115;Software;4; R$ 1.031,14 ; R$ 4.124,56 ;Transferência;Pendente
273;2024-01-13;2024;1;13;1025;Cliente_1025;Sul;Varejo;Produto_76;Equipamentos;3; R$ 703,04 ; R$ 2.109,12 ;Cartão;Concluída
274;2024-08-21;2024;8;21;291;Cliente_291;Nordeste;Corporativo;Produto_90;Equipamentos;6; R$ 637,54 ; R$ 3.825,24 ;Cartão;Pendente
275;2024-01-23;2024;1;23;927;Cliente_927;Norte;Varejo;Produto_88;Eletrônicos;6; R$ 153,01 ; R$ 918,06 ;Boleto;Cancelada
276;2024-03-22;2024;3;22;500;Cliente_500;Sudeste;Corporativo;Produto_119;Serviços;9; R$ 365,42 ; R$ 3.288,78 ;Transferência;Cancelada
277;2024-08-09;2024;8;9;378;Cliente_378;Sul;Varejo;Produto_51;Equipamentos;3; R$ 1.288,15 ; R$ 3.864,45 ;Transferência;Pendente
278;2024-12-26;2024;12;26;10;Cliente_10;Norte;Varejo;Produto_138;Serviços;4; R$ 427,45 ; R$ 1.709,80 ;Pix;Pendente
279;2024-12-09;2024;12;9;404;Cliente_404;Sul;Online;Produto_100;Acessórios;8; R$ 245,63 ; R$ 1.965,04 ;Transferência;Cancelada
280;2024-08-22;2024;8;22;234;Cliente_234;Centro-Oeste;Atacado;Produto_77;Acessórios;6; R$ 716,93 ; R$ 4.301,58 ;Cartão;Cancelada
281;2024-06-05;2024;6;5;275;Cliente_275;Norte;Atacado;Produto_96;Serviços;6; R$ 253,37 ; R$ 1.520,22 ;Transferência;Pendente
282;2024-04-05;2024;4;5;283;Cliente_283;Sul;Atacado;Produto_143;Serviços;10; R$ 779,75 ; R$ 7.797,50 ;Transferência;Pendente
283;2024-08-18;2024;8;18;288;Cliente_288;Centro-Oeste;Varejo;Produto_92;Eletrônicos;3; R$ 642,87 ; R$ 1.928,61 ;Transferência;Concluída
284;2024-09-15;2024;9;15;400;Cliente_400;Sul;Corporativo;Produto_126;Equipamentos;7; R$ 1.928,38 ; R$ 13.498,66 ;Transferência;Pendente
285;2024-04-22;2024;4;22;343;Cliente_343;Sudeste;Varejo;Produto_71;Serviços;2; R$ 1.139,49 ; R$ 2.278,98 ;Pix;Concluída
286;2024-09-10;2024;9;10;937;Cliente_937;Centro-Oeste;Varejo;Produto_147;Eletrônicos;10; R$ 1.490,19 ; R$ 14.901,90 ;Pix;Cancelada
287;2024-01-22;2024;1;22;752;Cliente_752;Sul;Atacado;Produto_109;Eletrônicos;9; R$ 1.648,77 ; R$ 14.838,93 ;Boleto;Pendente
288;2024-02-14;2024;2;14;67;Cliente_67;Sul;Varejo;Produto_61;Serviços;8; R$ 540,37 ; R$ 4.322,96 ;Pix;Cancelada
289;2024-04-15;2024;4;15;877;Cliente_877;Nordeste;Varejo;Produto_146;Software;3; R$ 1.239,98 ; R$ 3.719,94 ;Pix;Cancelada
290;2024-12-26;2024;12;26;1104;Cliente_1104;Sudeste;Online;Produto_147;Software;3; R$ 660,83 ; R$ 1.982,49 ;Cartão;Concluída
291;2024-12-01;2024;12;1;843;Cliente_843;Nordeste;Atacado;Produto_64;Serviços;1; R$ 1.985,12 ; R$ 1.985,12 ;Pix;Concluída
292;2024-11-19;2024;11;19;805;Cliente_805;Sudeste;Corporativo;Produto_97;Equipamentos;8; R$ 301,50 ; R$ 2.412,00 ;Cartão;Cancelada
293;2024-05-22;2024;5;22;191;Cliente_191;Sudeste;Corporativo;Produto_125;Software;7; R$ 1.040,91 ; R$ 7.286,37 ;Cartão;Cancelada
294;2024-12-23;2024;12;23;191;Cliente_191;Sudeste;Varejo;Produto_137;Equipamentos;8; R$ 1.276,98 ; R$ 10.215,84 ;Boleto;Pendente
295;2024-05-25;2024;5;25;434;Cliente_434;Sudeste;Atacado;Produto_145;Equipamentos;8; R$ 551,70 ; R$ 4.413,60 ;Pix;Cancelada
296;2024-08-23;2024;8;23;100;Cliente_100;Norte;Varejo;Produto_41;Equipamentos;1; R$ 217,16 ; R$ 217,16 ;Transferência;Concluída
297;2024-03-08;2024;3;8;877;Cliente_877;Sudeste;Atacado;Produto_71;Eletrônicos;4; R$ 1.991,47 ; R$ 7.965,88 ;Pix;Pendente
298;2024-11-28;2024;11;28;169;Cliente_169;Nordeste;Varejo;Produto_102;Software;6; R$ 1.335,73 ; R$ 8.014,38 ;Boleto;Pendente
299;2024-09-01;2024;9;1;187;Cliente_187;Norte;Atacado;Produto_58;Acessórios;2; R$ 22,15 ; R$ 44,30 ;Transferência;Concluída
300;2024-08-04;2024;8;4;17;Cliente_17;Nordeste;Corporativo;Produto_19;Serviços;6; R$ 1.637,88 ; R$ 9.827,28 ;Transferência;Concluída
301;2024-06-02;2024;6;2;210;Cliente_210;Nordeste;Corporativo;Produto_35;Serviços;2; R$ 640,44 ; R$ 1.280,88 ;Cartão;Cancelada
302;2024-03-25;2024;3;25;1154;Cliente_1154;Sul;Online;Produto_55;Serviços;1; R$ 1.228,43 ; R$ 1.228,43 ;Transferência;Cancelada
303;2024-02-21;2024;2;21;907;Cliente_907;Nordeste;Varejo;Produto_99;Software;4; R$ 191,64 ; R$ 766,56 ;Transferência;Pendente
304;2024-02-13;2024;2;13;287;Cliente_287;Nordeste;Online;Produto_7;Software;4; R$ 568,40 ; R$ 2.273,60 ;Boleto;Cancelada
305;2024-05-31;2024;5;31;1044;Cliente_1044;Norte;Atacado;Produto_127;Equipamentos;4; R$ 1.500,73 ; R$ 6.002,92 ;Cartão;Concluída
306;2024-01-07;2024;1;7;1024;Cliente_1024;Sudeste;Online;Produto_34;Equipamentos;10; R$ 160,60 ; R$ 1.606,00 ;Transferência;Pendente
307;2024-02-07;2024;2;7;1119;Cliente_1119;Norte;Varejo;Produto_4;Software;3; R$ 1.530,20 ; R$ 4.590,60 ;Boleto;Concluída
308;2024-11-17;2024;11;17;124;Cliente_124;Centro-Oeste;Corporativo;Produto_109;Equipamentos;7; R$ 1.023,09 ; R$ 7.161,63 ;Cartão;Cancelada
309;2024-05-22;2024;5;22;1099;Cliente_1099;Norte;Online;Produto_21;Acessórios;9; R$ 1.239,77 ; R$ 11.157,93 ;Boleto;Concluída
310;2024-11-20;2024;11;20;1099;Cliente_1099;Norte;Online;Produto_112;Serviços;6; R$ 793,65 ; R$ 4.761,90 ;Cartão;Concluída
311;2024-11-09;2024;11;9;177;Cliente_177;Centro-Oeste;Varejo;Produto_80;Serviços;7; R$ 249,65 ; R$ 1.747,55 ;Cartão;Concluída
312;2024-06-26;2024;6;26;282;Cliente_282;Centro-Oeste;Online;Produto_43;Software;1; R$ 344,39 ; R$ 344,39 ;Boleto;Cancelada
313;2024-01-16;2024;1;16;551;Cliente_551;Sudeste;Corporativo;Produto_70;Acessórios;2; R$ 1.547,43 ; R$ 3.094,86 ;Cartão;Pendente
314;2024-09-18;2024;9;18;1181;Cliente_1181;Sudeste;Varejo;Produto_128;Acessórios;2; R$ 1.002,37 ; R$ 2.004,74 ;Boleto;Pendente
315;2024-10-20;2024;10;20;323;Cliente_323;Norte;Atacado;Produto_131;Eletrônicos;5; R$ 1.551,19 ; R$ 7.755,95 ;Cartão;Concluída
316;2024-07-15;2024;7;15;501;Cliente_501;Nordeste;Atacado;Produto_10;Acessórios;1; R$ 954,09 ; R$ 954,09 ;Transferência;Concluída
317;2024-06-12;2024;6;12;660;Cliente_660;Sudeste;Varejo;Produto_147;Software;4; R$ 844,19 ; R$ 3.376,76 ;Cartão;Cancelada
318;2024-09-21;2024;9;21;108;Cliente_108;Norte;Corporativo;Produto_18;Equipamentos;3; R$ 461,91 ; R$ 1.385,73 ;Pix;Pendente
319;2024-01-05;2024;1;5;671;Cliente_671;Sudeste;Atacado;Produto_75;Acessórios;2; R$ 1.115,12 ; R$ 2.230,24 ;Pix;Cancelada
320;2024-09-09;2024;9;9;497;Cliente_497;Nordeste;Atacado;Produto_39;Eletrônicos;8; R$ 749,18 ; R$ 5.993,44 ;Transferência;Concluída
321;2024-12-21;2024;12;21;478;Cliente_478;Norte;Online;Produto_1;Equipamentos;9; R$ 705,92 ; R$ 6.353,28 ;Pix;Concluída
322;2024-08-02;2024;8;2;421;Cliente_421;Sul;Varejo;Produto_37;Software;9; R$ 1.966,57 ; R$ 17.699,13 ;Cartão;Concluída
323;2024-07-09;2024;7;9;475;Cliente_475;Sul;Varejo;Produto_149;Eletrônicos;9; R$ 837,85 ; R$ 7.540,65 ;Boleto;Cancelada
324;2024-02-01;2024;2;1;808;Cliente_808;Sul;Atacado;Produto_61;Software;2; R$ 1.191,95 ; R$ 2.383,90 ;Pix;Pendente
325;2024-05-19;2024;5;19;805;Cliente_805;Nordeste;Varejo;Produto_52;Serviços;6; R$ 649,75 ; R$ 3.898,50 ;Cartão;Concluída
326;2024-06-09;2024;6;9;217;Cliente_217;Sul;Varejo;Produto_138;Software;3; R$ 910,14 ; R$ 2.730,42 ;Boleto;Pendente
327;2024-03-02;2024;3;2;632;Cliente_632;Norte;Atacado;Produto_78;Acessórios;8; R$ 544,72 ; R$ 4.357,76 ;Cartão;Concluída
328;2024-05-07;2024;5;7;672;Cliente_672;Sudeste;Corporativo;Produto_132;Eletrônicos;3; R$ 200,60 ; R$ 601,80 ;Pix;Pendente
329;2024-08-19;2024;8;19;357;Cliente_357;Centro-Oeste;Atacado;Produto_25;Equipamentos;1; R$ 1.905,15 ; R$ 1.905,15 ;Cartão;Concluída
330;2024-04-23;2024;4;23;249;Cliente_249;Nordeste;Atacado;Produto_103;Software;1; R$ 142,10 ; R$ 142,10 ;Cartão;Cancelada
331;2024-02-03;2024;2;3;531;Cliente_531;Nordeste;Corporativo;Produto_33;Eletrônicos;2; R$ 63,16 ; R$ 126,32 ;Pix;Concluída
332;2024-10-20;2024;10;20;88;Cliente_88;Sul;Corporativo;Produto_128;Eletrônicos;8; R$ 120,26 ; R$ 962,08 ;Transferência;Cancelada
333;2024-04-05;2024;4;5;874;Cliente_874;Sudeste;Online;Produto_115;Serviços;3; R$ 720,81 ; R$ 2.162,43 ;Cartão;Cancelada
334;2024-10-08;2024;10;8;504;Cliente_504;Sul;Varejo;Produto_23;Software;5; R$ 1.007,81 ; R$ 5.039,05 ;Transferência;Concluída
335;2024-09-26;2024;9;26;859;Cliente_859;Nordeste;Varejo;Produto_98;Software;4; R$ 1.292,45 ; R$ 5.169,80 ;Transferência;Cancelada
